Subregion,Anonced,Wallbuilding State,Towards,Full,Reasons,Length,Length,Source_Secondary,Source_Primary,DW researched sources
Northern Africa,2015,Algeria,Morocco,Algeria Morocco,"Terrorism, Smuggling, Territorial dispute, Immigration",100.00,100.00,https://ru.wikipedia.org/wiki/Алжиро-марокканская_граница,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",5
Northern Africa,2015,Algeria,Libya,Algeria Libya,"Terrorism, Smuggling, Territorial dispute, Immigration",200.00,200.00,https://www.middleeastmonitor.com/20160902-algeria-to-build-security-wall-along-libya-border/,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",1-4
Northern Africa,2015,Libya,Egypt,Libya Egypt,"Terrorism, Smuggling, Territorial dispute, Immigration",1.00,1.00,https://www.al-monitor.com/originals/2019/03/egypt-libya-border-wall-weapons-militants-smuggling-security.html,,"98,99"
Southern Africa,2003,Botswana,Zimbabwe,Botswana Zimbabwe,Immigration,482.00,482.00,https://www.pbs.org/wnet/wideangle/uncategorized/the-worlds-most-complex-borders-botswanazimbabwe/2317/,"118, 161, 163, 111, 99",
Northern Africa,2014,Egypt,Gaza Strip,Egypt Gaza Strip,Territorial dispute,3.10,3.10,2020 report by Delàs Center of Peace Studies,"25, 26, 28, 51, 1",
Western Africa,2020,Equatorial Guinea,Cameroon,Equatorial Guinea Cameroon,Immigration,189.00,189.00,https://humanglemedia.com/equatorial-guinea-constructs-wall-on-border-with-cameroon-to-check-illegal-migration/,,65
Eastern Africa,2014,Kenya,Somalia,Kenya Somalia,"Territorial dispute, Immigration",10.00,10.00,https://www.bbc.com/news/world-africa-47574463,"158, 157, 159",
Northern Africa,1980,Morocco,Western Sahara,Morocco Western Sahara,Immigration,"2,700.00","2,700.00","https://www.theguardian.com/world/2018/sep/22/western-sahara-wall-morocco-trump#:~:text=At%201%2C700%20miles%20(2%2C700km,than%20the%20US%2DMexican%20border.","1, 5,51, 99, 111",
Northern Africa,1996,Morocco,Spain (Melilla),Morocco Spain (Melilla),"Immigration, Smuggling",11.00,11.00,"https://en.wikipedia.org/wiki/Melilla_border_fence#:~:text=This%20third%20razor%20wire%20barrier,service%20in%20case%20of%20need.",75,"67, 68"
Northern Africa,2015,Morocco,Algeria,Morocco Algeria,Immigration,700.00,700.00,https://www.moroccoworldnews.com/2016/08/194702/algeria-erects-fence-along-border-morocco,"11, 20,10, 12, 118,19, 203",
Southern Africa,2012,South Africa,Mozambique,South Africa Mozambique,Immigration,8.00,8.00,https://www.plataformamedia.com/en/2020/10/15/south-africa-builds-wall-on-border-with-mozambique/,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",45
Southern Africa,1985,South Africa,Zimbabwe,South Africa Zimbabwe,Immigration,40.00,40.00,https://www.aljazeera.com/news/2020/3/20/south-africa-to-build-40km-fence-along-zimbabwe-border,"160, 161, 99, 164",50-52
